0	1	2
NC_060948.1	2462465	0.0833
NC_060948.1	2465975	0.0833
NC_060948.1	2472503	0.1667
NC_060948.1	2472507	0.3333
NC_060948.1	2472742	0.0833
NC_060948.1	2474415	0.0833
NC_060948.1	2477255	0.1667
NC_060948.1	2477318	0.0833
NC_060948.1	2477332	0.0833
NC_060948.1	2478215	0.1667
NC_060948.1	2478721	0.0833
NC_060948.1	2479253	0.0833
NC_060948.1	2480028	0.0833
NC_060948.1	2480355	0.0833
NC_060948.1	2480836	0.0833
NC_060948.1	2483422	0.0833
NC_060948.1	2484255	0.0833
NC_060948.1	2484281	0.0833
NC_060948.1	2485534	0.0833
NC_060948.1	2488436	0.0833
NC_060948.1	2491658	0.0833
NC_060948.1	2492628	0.0833
NC_060948.1	2493546	0.0833
NC_060948.1	2495221	0.0833
NC_060948.1	2495354	0.0833
NC_060948.1	2495526	0.0833
NC_060948.1	2497413	0.0833
NC_060948.1	2497415	0.0833
NC_060948.1	2497417	0.0833
NC_060948.1	2497420	0.0833
NC_060948.1	2497421	0.0833
NC_060948.1	2497422	0.0833
NC_060948.1	2497424	0.0833
NC_060948.1	2497426	0.0833
NC_060948.1	2503061	0.0833
NC_060948.1	2504586	0.0833
NC_060948.1	2505017	0.0833
NC_060948.1	2511777	0.0833
NC_060948.1	2512067	0.0833
NC_060948.1	2514800	0.0833
NC_060948.1	2516649	0.0833
NC_060948.1	2516731	0.0833
NC_060948.1	2518944	0.0833
NC_060948.1	2521742	0.0833
NC_060948.1	2521746	0.0833
NC_060948.1	2527997	0.1667
NC_060948.1	2531297	0.0833
NC_060948.1	2533559	0.0833
NC_060948.1	2534206	0.1667
NC_060948.1	2537718	0.0833
NC_060948.1	2539614	0.0833
NC_060948.1	2542409	0.0833
NC_060948.1	2543645	0.0833
NC_060948.1	2544073	0.0833
NC_060948.1	2546199	0.1667
NC_060948.1	2546468	0.0833
NC_060948.1	2547064	0.0833
NC_060948.1	2548259	0.0833
NC_060948.1	2552544	0.0833
NC_060948.1	2553176	0.0833
NC_060948.1	2555013	0.0833
NC_060948.1	2559514	0.1667
NC_060948.1	2562962	0.0833
NC_060948.1	2563000	0.0833
NC_060948.1	2565263	0.0833
NC_060948.1	2565311	0.0833
NC_060948.1	2566462	0.0833
NC_060948.1	2568673	0.0833
NC_060948.1	2568696	0.0833
NC_060948.1	2568700	0.0833
NC_060948.1	2582075	0.0833
NC_060948.1	2583095	0.0833
NC_060948.1	2583816	0.0833
NC_060948.1	2584260	0.0833
NC_060948.1	2595378	0.1667
NC_060948.1	2596854	0.0833
NC_060948.1	2597772	0.0833
NC_060948.1	2598177	0.0833
NC_060948.1	2599287	0.0833
NC_060948.1	2599726	0.0833
NC_060948.1	2603221	0.0833
NC_060948.1	2603623	0.0833
NC_060948.1	2603816	0.1667
NC_060948.1	2604812	0.0833
NC_060948.1	2606880	0.0833
NC_060948.1	2607601	0.0833
NC_060948.1	2609855	0.0833
NC_060948.1	2610461	0.0833
NC_060948.1	2612438	0.1667
NC_060948.1	2612858	0.0833
NC_060948.1	2616742	0.0833
NC_060948.1	2617605	0.0833
NC_060948.1	2619126	0.0833
NC_060948.1	2619128	0.0833
NC_060948.1	2619706	0.1667
NC_060948.1	2621802	0.0833
NC_060948.1	2624554	0.0833
NC_060948.1	2626552	0.0833
NC_060948.1	2628159	0.0833
NC_060948.1	2633848	0.3333
NC_060948.1	2636530	0.1667
NC_060948.1	2637831	0.0833
NC_060948.1	2640469	0.1667
NC_060948.1	2640560	0.0833
NC_060948.1	2642028	0.0833
NC_060948.1	2645690	0.1667
NC_060948.1	2646782	0.0833
NC_060948.1	2651333	0.0833
NC_060948.1	2651335	0.0833
NC_060948.1	2651951	0.0833
NC_060948.1	2658963	0.0833
NC_060948.1	2658974	0.0833
NC_060948.1	2658975	0.0833
NC_060948.1	2659000	0.0833
NC_060948.1	2660438	0.0833
NC_060948.1	2662515	0.1667
NC_060948.1	2663571	0.0833
NC_060948.1	2664758	0.1667
NC_060948.1	2666639	0.0833
NC_060948.1	2669822	0.0833
NC_060948.1	2671118	0.0833
NC_060948.1	2672488	0.0833
NC_060948.1	2672786	0.0833
NC_060948.1	2673151	0.0833
NC_060948.1	2673402	0.0833
NC_060948.1	2673404	0.0833
NC_060948.1	2673405	0.0833
NC_060948.1	2674881	0.1667
NC_060948.1	2675477	0.25
NC_060948.1	2675734	0.25
NC_060948.1	2675735	0.25
NC_060948.1	2675765	0.0833
NC_060948.1	2675907	0.25
NC_060948.1	2675912	0.25
NC_060948.1	2676007	0.0833
NC_060948.1	2676024	0.0833
NC_060948.1	2676065	0.25
NC_060948.1	2677620	0.0833
NC_060948.1	2677777	0.0833
NC_060948.1	2678541	0.0833
NC_060948.1	2681704	0.0833
NC_060948.1	2681731	0.0833
NC_060948.1	2683663	0.0833
NC_060948.1	2683665	0.0833
NC_060948.1	2687873	0.0833
NC_060948.1	2687885	0.0833
NC_060948.1	2691876	0.0833
NC_060948.1	2693969	0.0833
NC_060948.1	2695913	0.0833
NC_060948.1	2696945	0.0833
NC_060948.1	2697778	0.2727
NC_060948.1	2697781	0.0909
NC_060948.1	2697852	0.0833
NC_060948.1	2697860	0.25
NC_060948.1	2697929	0.0833
NC_060948.1	2697948	0.1667
NC_060948.1	2698145	0.0833
NC_060948.1	2698521	0.0833
NC_060948.1	2703349	0.0833
NC_060948.1	2705603	0.0833
NC_060948.1	2706555	0.0833
NC_060948.1	2708833	0.0833
NC_060948.1	2708843	0.0833
NC_060948.1	2709896	0.0833
NC_060948.1	2711961	0.0833
NC_060948.1	2712354	0.1667
NC_060948.1	2713700	0.0833
NC_060948.1	2715743	0.0833
NC_060948.1	2716060	0.0833
NC_060948.1	2721495	0.0833
NC_060948.1	2722416	0.0833
NC_060948.1	2724160	0.1667
NC_060948.1	2727356	0.125
NC_060948.1	2728655	0.125
NC_060948.1	2729506	0.125
NC_060948.1	2730596	0.125
NC_060948.1	2733631	0.125
NC_060948.1	2734305	0.125
NC_060948.1	2734615	0.125
NC_060948.1	2735410	0.125
NC_060948.1	2743293	0.125
NC_060948.1	2743299	0.125
NC_060948.1	2743472	0.125
NC_060948.1	2744593	0.125
NC_060948.1	2745064	0.125
NC_060948.1	2745133	0.125
NC_060948.1	2746034	0.125
NC_060948.1	2748286	0.125
NC_060948.1	2750117	0.125
NC_060948.1	2765488	0.125
NC_060948.1	2773244	0.125
NC_060948.1	2773953	0.125
NC_060948.1	2776724	0.125
NC_060948.1	2780250	0.125
NC_060948.1	2783030	0.125
NC_060948.1	2785810	0.125
NC_060948.1	2788667	0.125
NC_060948.1	2788703	0.125
NC_060948.1	2788804	0.125
NC_060948.1	2789097	0.125
NC_060948.1	2791276	0.125
NC_060948.1	2792189	0.125
